annual_income,loan_amount,credit_score,employment_years,dti_ratio,age,num_credit_lines,savings_balance,loan_purpose,home_ownership,education,loan_to_income,savings_to_loan,approved
72200,238600,572,3,65.0,26,8,16150,debt_consolidation,own,high_school,3.305,0.068,0
63200,20600,613,12,10.1,23,1,6000,education,mortgage,bachelors,0.326,0.291,1
24300,78300,692,3,64.2,29,4,1330,home_improvement,rent,bachelors,3.222,0.017,0
56300,29800,674,7,10.1,24,7,10160,home_improvement,own,some_college,0.529,0.341,1
42200,113100,570,6,54.4,55,4,1080,debt_consolidation,rent,graduate,2.68,0.01,0
30500,73800,674,4,52.4,21,4,11420,debt_consolidation,rent,graduate,2.42,0.155,0
115500,78100,563,9,21.1,39,4,1150,home_improvement,rent,bachelors,0.676,0.015,0
118000,30900,652,11,7.9,42,8,2670,medical,rent,bachelors,0.262,0.086,1
99900,35000,655,3,12.5,41,2,2660,medical,own,high_school,0.35,0.076,0
60800,114600,756,6,43.4,42,1,34840,other,rent,some_college,1.885,0.304,1
99500,206800,646,10,46.4,48,2,160,home_improvement,mortgage,high_school,2.078,0.001,1
54500,83800,668,0,36.2,33,1,128420,major_purchase,own,some_college,1.538,1.532,0
59400,31900,648,8,20.7,38,3,1590,major_purchase,mortgage,high_school,0.537,0.05,1
33100,75900,565,11,48.8,34,3,4140,debt_consolidation,mortgage,some_college,2.293,0.055,0
64800,327500,629,8,65.0,52,4,8770,debt_consolidation,mortgage,some_college,5.054,0.027,0
55700,64300,652,9,27.6,61,5,7770,education,mortgage,high_school,1.154,0.121,1
30100,166600,691,5,65.0,24,2,16010,debt_consolidation,mortgage,high_school,5.535,0.096,0
52900,35700,732,10,23.1,44,2,11550,other,rent,bachelors,0.675,0.324,1
52300,58100,665,2,21.4,49,3,85120,education,mortgage,high_school,1.111,1.465,1
121600,92400,663,3,23.4,59,5,13690,debt_consolidation,own,some_college,0.76,0.148,1
81000,79100,538,9,23.0,46,3,4170,debt_consolidation,mortgage,bachelors,0.977,0.053,0
54500,35000,730,10,15.5,53,2,2270,medical,mortgage,some_college,0.642,0.065,1
60600,34000,625,14,16.4,56,7,2190,home_improvement,rent,high_school,0.561,0.064,1
55300,119600,748,18,47.6,54,7,30050,major_purchase,mortgage,bachelors,2.163,0.251,1
49400,137900,796,3,52.0,47,3,57370,debt_consolidation,mortgage,bachelors,2.791,0.416,0
33300,172600,669,2,65.0,23,6,20050,education,mortgage,bachelors,5.183,0.116,0
50600,211700,598,12,65.0,37,2,60,home_improvement,own,some_college,4.184,0.0,0
38700,65800,683,4,42.8,41,5,210,home_improvement,rent,bachelors,1.7,0.003,0
30900,48200,714,6,33.5,36,7,4860,other,mortgage,some_college,1.56,0.101,0
68200,154200,658,11,53.5,37,8,3890,medical,rent,some_college,2.261,0.025,0
64600,98600,637,7,37.0,55,7,5050,major_purchase,mortgage,bachelors,1.526,0.051,1
24200,30100,732,10,30.3,29,5,28350,education,rent,high_school,1.244,0.942,0
51300,29000,727,3,23.3,46,5,26440,other,mortgage,bachelors,0.565,0.912,1
84800,84500,655,8,33.6,41,6,6280,education,own,bachelors,0.996,0.074,0
87300,52900,544,7,18.1,28,7,580,medical,mortgage,some_college,0.606,0.011,1
86000,58800,723,13,17.3,26,5,880,debt_consolidation,mortgage,high_school,0.684,0.015,0
55100,126900,619,16,51.2,19,5,5400,education,mortgage,bachelors,2.303,0.043,0
37000,101900,703,4,51.9,43,3,8810,education,rent,bachelors,2.754,0.086,0
33300,151900,697,2,65.0,37,3,890,major_purchase,rent,high_school,4.562,0.006,0
63300,15500,524,10,17.6,28,6,12390,major_purchase,mortgage,bachelors,0.245,0.799,1
64300,71500,691,1,30.3,42,4,420,major_purchase,mortgage,high_school,1.112,0.006,0
96700,97400,728,11,22.7,36,3,120,home_improvement,mortgage,bachelors,1.007,0.001,1
88900,20600,739,11,24.7,30,4,1440,debt_consolidation,rent,high_school,0.232,0.07,1
51000,37900,694,4,15.8,27,5,33600,major_purchase,mortgage,bachelors,0.743,0.887,1
30900,33200,516,0,29.8,35,2,41410,debt_consolidation,own,bachelors,1.074,1.247,0
46900,60800,793,12,28.1,43,5,530,home_improvement,rent,some_college,1.296,0.009,1
59700,187100,719,16,65.0,34,5,590,other,own,graduate,3.134,0.003,1
49500,246700,582,16,65.0,24,4,14260,debt_consolidation,rent,graduate,4.984,0.058,0
41800,33900,618,16,21.5,37,6,2650,other,own,some_college,0.811,0.078,1
60700,86600,704,1,26.4,49,6,33290,home_improvement,rent,some_college,1.427,0.384,1
43200,88500,742,6,53.2,38,6,13940,other,mortgage,bachelors,2.049,0.158,1
40800,78500,643,7,40.2,38,6,17730,debt_consolidation,rent,some_college,1.924,0.226,1
62300,79200,755,7,32.8,34,5,1560,debt_consolidation,own,some_college,1.271,0.02,1
45200,74100,532,10,37.5,28,5,9150,major_purchase,mortgage,high_school,1.639,0.123,1
60500,195100,596,2,63.8,27,2,82700,home_improvement,rent,high_school,3.225,0.424,0
61300,129500,509,1,37.1,19,7,6000,medical,mortgage,bachelors,2.113,0.046,0
32400,28500,608,0,22.9,50,6,4610,major_purchase,mortgage,some_college,0.88,0.162,0
43600,104500,813,13,50.1,43,4,2670,home_improvement,mortgage,high_school,2.397,0.026,1
103500,111800,704,1,28.7,38,3,520,other,mortgage,graduate,1.08,0.005,1
32100,74600,630,7,58.4,41,3,1060,debt_consolidation,other,some_college,2.324,0.014,0
20900,132200,666,3,65.0,41,2,1410,debt_consolidation,rent,high_school,6.325,0.011,0
23400,68300,725,4,64.0,29,3,490,medical,mortgage,some_college,2.919,0.007,0
54900,68900,552,5,29.4,34,10,570,debt_consolidation,mortgage,bachelors,1.255,0.008,0
54900,65200,636,4,24.1,32,5,160,home_improvement,mortgage,bachelors,1.188,0.002,0
51400,14600,806,1,12.0,65,4,1640,major_purchase,rent,some_college,0.284,0.112,1
93600,56600,596,5,15.9,49,3,12650,debt_consolidation,mortgage,bachelors,0.605,0.223,1
16300,37500,621,3,49.2,39,4,3160,debt_consolidation,mortgage,some_college,2.301,0.084,0
64700,26100,686,3,13.3,53,9,3180,debt_consolidation,own,bachelors,0.403,0.122,1
109400,163400,709,20,28.2,51,1,14380,debt_consolidation,rent,some_college,1.494,0.088,1
32600,85200,631,1,60.1,22,3,52290,debt_consolidation,rent,high_school,2.613,0.614,0
45700,58600,691,5,30.5,35,3,118500,debt_consolidation,rent,bachelors,1.282,2.022,1
38600,40300,736,7,25.5,37,2,6020,education,rent,some_college,1.044,0.149,1
36200,73700,674,20,40.2,44,3,3310,education,rent,some_college,2.036,0.045,0
46800,119900,681,2,52.2,35,6,2760,debt_consolidation,other,bachelors,2.562,0.023,0
103000,33600,814,15,10.4,36,3,11250,major_purchase,mortgage,some_college,0.326,0.335,1
123800,59700,638,5,11.9,32,11,3950,home_improvement,own,bachelors,0.482,0.066,1
46600,109900,572,5,51.1,49,4,3970,debt_consolidation,mortgage,high_school,2.358,0.036,0
127700,15400,706,10,8.3,22,4,4350,debt_consolidation,rent,high_school,0.121,0.282,1
55100,57500,776,17,29.8,33,7,1310,major_purchase,mortgage,some_college,1.044,0.023,1
119300,44300,715,4,13.2,26,2,190,debt_consolidation,mortgage,high_school,0.371,0.004,1
51900,54500,676,7,27.4,41,3,1930,education,rent,high_school,1.05,0.035,0
57500,42100,561,7,21.5,41,3,37820,medical,own,high_school,0.732,0.898,1
63900,65900,680,6,28.1,34,2,35410,major_purchase,rent,bachelors,1.031,0.537,1
226500,230200,789,11,22.9,50,2,18320,education,rent,graduate,1.016,0.08,1
79500,47700,580,3,22.4,52,3,2460,debt_consolidation,other,bachelors,0.6,0.052,1
39400,73400,664,4,36.8,37,3,1630,major_purchase,rent,bachelors,1.863,0.022,0
83800,241900,652,1,60.1,40,6,47780,debt_consolidation,own,bachelors,2.887,0.198,0
46000,40700,625,9,19.1,33,6,1080,home_improvement,mortgage,bachelors,0.885,0.027,1
43500,213300,706,6,65.0,44,6,5190,debt_consolidation,mortgage,some_college,4.903,0.024,0
81500,60100,722,16,24.8,24,1,52330,debt_consolidation,mortgage,high_school,0.737,0.871,1
54900,208400,721,2,65.0,57,4,5850,medical,rent,bachelors,3.796,0.028,0
61400,101200,601,21,41.9,50,5,3260,debt_consolidation,mortgage,graduate,1.648,0.032,1
54500,74200,545,10,31.3,24,4,24930,debt_consolidation,rent,graduate,1.361,0.336,0
63000,57200,707,10,28.0,29,9,5440,education,rent,high_school,0.908,0.095,1
65600,38700,641,3,15.8,42,2,6470,debt_consolidation,rent,graduate,0.59,0.167,1
22700,63100,841,5,56.2,34,4,40970,debt_consolidation,rent,high_school,2.78,0.649,0
73100,112200,845,4,36.1,43,6,140,debt_consolidation,mortgage,some_college,1.535,0.001,1
34800,59300,605,14,42.1,34,7,8120,home_improvement,own,bachelors,1.704,0.137,0
28300,48000,733,1,36.3,54,11,1680,education,own,some_college,1.696,0.035,1
52800,50200,759,5,27.9,38,1,3680,education,rent,bachelors,0.951,0.073,1
56300,119900,749,6,47.3,64,8,5760,medical,rent,high_school,2.13,0.048,1
39700,141200,654,4,65.0,44,7,1910,home_improvement,rent,graduate,3.557,0.014,0
78700,37500,793,2,13.2,23,6,6770,education,own,high_school,0.476,0.181,1
29600,37500,685,0,29.3,60,7,8430,medical,other,bachelors,1.267,0.225,1
45100,78100,695,5,38.8,50,7,6530,education,rent,high_school,1.732,0.084,1
41600,174400,554,9,65.0,42,3,5740,debt_consolidation,mortgage,high_school,4.192,0.033,0
53100,133500,739,6,50.0,45,7,4170,major_purchase,mortgage,high_school,2.514,0.031,0
61400,24900,662,2,10.1,24,5,4290,debt_consolidation,other,high_school,0.406,0.172,1
34400,49800,724,6,25.5,18,7,5490,home_improvement,mortgage,high_school,1.448,0.11,1
75100,31200,704,17,18.5,37,4,1310,education,rent,high_school,0.415,0.042,1
55700,49600,700,3,27.8,53,4,29090,medical,mortgage,graduate,0.89,0.586,1
23100,184100,681,7,65.0,42,8,4330,medical,mortgage,high_school,7.97,0.024,0
22400,22100,751,8,26.1,56,4,2790,debt_consolidation,own,bachelors,0.987,0.126,1
53900,19300,668,1,12.9,52,5,8550,debt_consolidation,own,bachelors,0.358,0.443,1
49000,33500,561,4,25.2,38,6,4190,other,rent,bachelors,0.684,0.125,0
51700,73200,733,4,32.6,51,5,27990,debt_consolidation,mortgage,some_college,1.416,0.382,1
53500,92500,616,6,41.3,54,3,17200,debt_consolidation,mortgage,high_school,1.729,0.186,0
60000,81300,572,14,30.7,37,2,5600,debt_consolidation,rent,high_school,1.355,0.069,0
83000,136300,598,2,34.8,35,6,18300,medical,mortgage,high_school,1.642,0.134,1
32900,17400,709,15,20.6,39,6,6830,home_improvement,mortgage,some_college,0.529,0.393,1
32000,137600,676,9,65.0,41,5,980,debt_consolidation,rent,bachelors,4.3,0.007,0
33100,48100,503,22,29.1,45,4,17080,major_purchase,rent,bachelors,1.453,0.355,0
61700,99900,652,0,41.7,39,7,340,medical,rent,bachelors,1.619,0.003,0
94900,23700,784,30,8.6,41,1,13060,major_purchase,mortgage,bachelors,0.25,0.551,1
44600,60100,646,1,22.9,37,7,9150,debt_consolidation,own,high_school,1.348,0.152,1
17600,70600,670,3,65.0,56,5,8330,debt_consolidation,rent,bachelors,4.011,0.118,0
25200,134500,773,3,65.0,33,6,34390,home_improvement,rent,high_school,5.337,0.256,0
37200,19700,752,9,11.5,31,5,4750,debt_consolidation,rent,graduate,0.53,0.241,1
42200,61200,771,5,26.2,52,7,2890,debt_consolidation,mortgage,some_college,1.45,0.047,0
45100,28000,449,3,17.2,48,7,14990,education,rent,bachelors,0.621,0.535,0
55100,85300,832,19,33.4,41,5,1810,other,rent,bachelors,1.548,0.021,1
47100,103200,739,0,52.9,46,4,3520,debt_consolidation,rent,some_college,2.191,0.034,0
86900,147400,618,12,38.6,25,0,7000,home_improvement,own,some_college,1.696,0.047,1
40000,41200,535,5,29.5,37,3,7830,home_improvement,mortgage,graduate,1.03,0.19,0
36800,114600,685,3,64.9,52,5,3080,home_improvement,mortgage,some_college,3.114,0.027,1
67200,155200,661,3,55.8,30,3,2470,major_purchase,rent,bachelors,2.31,0.016,0
27100,19000,740,4,17.1,27,3,1020,home_improvement,rent,some_college,0.701,0.054,1
64600,91900,776,3,33.3,38,4,1630,home_improvement,mortgage,high_school,1.423,0.018,1
56700,117100,677,11,38.9,39,6,62740,debt_consolidation,mortgage,some_college,2.065,0.536,0
50700,50000,664,4,29.0,45,4,3390,major_purchase,rent,high_school,0.986,0.068,1
110700,25700,729,10,16.6,22,7,6410,home_improvement,own,some_college,0.232,0.249,1
40900,115900,663,3,62.5,48,9,610,debt_consolidation,rent,high_school,2.834,0.005,0
136900,25900,656,7,10.9,26,2,177810,debt_consolidation,mortgage,bachelors,0.189,6.865,1
49000,52800,773,7,21.4,31,13,1470,debt_consolidation,rent,bachelors,1.078,0.028,1
30500,58200,792,6,42.0,49,4,950,debt_consolidation,mortgage,high_school,1.908,0.016,0
55900,98800,777,15,37.1,41,3,4510,debt_consolidation,rent,bachelors,1.767,0.046,1
33400,38600,670,16,32.5,41,3,1410,major_purchase,own,graduate,1.156,0.037,1
38600,37100,503,10,23.6,41,1,8190,major_purchase,mortgage,high_school,0.961,0.221,0
64800,64200,672,13,24.0,27,0,590,major_purchase,mortgage,some_college,0.991,0.009,1
69600,121100,620,10,48.0,33,2,24150,debt_consolidation,mortgage,graduate,1.74,0.199,1
40900,296900,673,4,65.0,29,6,18320,major_purchase,mortgage,high_school,7.259,0.062,0
84500,20800,627,5,16.7,35,9,4160,education,rent,graduate,0.246,0.2,1
91200,74700,683,0,20.7,40,4,480,home_improvement,mortgage,graduate,0.819,0.006,0
103400,28000,596,2,8.5,49,5,1580,home_improvement,rent,some_college,0.271,0.056,1
68800,122200,576,1,44.2,21,4,5360,education,mortgage,some_college,1.776,0.044,1
100100,31000,788,3,19.5,37,4,900,major_purchase,mortgage,graduate,0.31,0.029,1
23200,37300,602,7,31.8,45,4,1130,home_improvement,own,high_school,1.608,0.03,0
47000,39600,685,4,21.1,27,7,21350,medical,rent,some_college,0.843,0.539,0
36700,56800,766,11,32.2,35,6,6110,debt_consolidation,own,high_school,1.548,0.108,1
57200,75100,762,2,33.6,43,5,5840,debt_consolidation,own,bachelors,1.313,0.078,1
41900,84000,752,9,48.4,38,2,10290,major_purchase,own,bachelors,2.005,0.122,1
50300,59600,710,2,27.9,45,5,3910,major_purchase,mortgage,bachelors,1.185,0.066,0
126400,23600,746,14,9.9,39,4,4520,home_improvement,mortgage,high_school,0.187,0.192,1
50200,99700,801,2,35.9,34,4,9310,debt_consolidation,mortgage,some_college,1.986,0.093,0
65300,57700,721,8,20.1,25,6,15250,other,rent,bachelors,0.884,0.264,1
48800,135000,528,3,63.8,40,4,9870,medical,mortgage,some_college,2.766,0.073,0
56100,36500,640,18,21.7,39,8,37970,debt_consolidation,own,graduate,0.651,1.04,1
54300,19500,744,17,18.2,27,4,5090,debt_consolidation,rent,high_school,0.359,0.261,1
66300,58500,631,8,22.4,44,4,750,home_improvement,own,high_school,0.882,0.013,1
91500,148300,822,8,36.1,51,6,22550,debt_consolidation,own,some_college,1.621,0.152,1
113700,67000,679,11,18.7,30,3,3490,home_improvement,rent,bachelors,0.589,0.052,1
62300,52100,692,9,24.3,29,3,1680,other,mortgage,bachelors,0.836,0.032,1
70600,32600,780,12,21.8,29,4,13320,medical,rent,graduate,0.462,0.409,1
32300,204900,669,2,65.0,19,6,8260,other,rent,bachelors,6.344,0.04,0
52100,29100,699,6,17.5,60,3,820,debt_consolidation,rent,graduate,0.559,0.028,1
82700,36000,761,3,12.7,33,6,12570,debt_consolidation,mortgage,some_college,0.435,0.349,1
80000,89200,559,17,20.2,28,3,67780,other,rent,graduate,1.115,0.76,1
59600,16300,660,1,16.6,25,7,7730,education,mortgage,bachelors,0.273,0.474,1
80700,146100,755,19,47.6,33,6,3430,home_improvement,rent,some_college,1.81,0.023,1
67600,92700,690,6,35.7,30,10,470,debt_consolidation,mortgage,high_school,1.371,0.005,1
93000,112400,809,12,30.7,53,2,86830,medical,mortgage,graduate,1.209,0.773,1
61700,88500,551,4,41.2,24,3,2380,debt_consolidation,mortgage,some_college,1.434,0.027,0
46200,53500,541,1,30.7,21,6,680,other,own,bachelors,1.158,0.013,0
63000,28400,750,17,19.3,44,7,5740,major_purchase,own,some_college,0.451,0.202,1
14500,54300,758,9,65.0,36,4,20160,debt_consolidation,rent,some_college,3.745,0.371,0
64400,30300,668,2,17.6,35,4,27730,debt_consolidation,rent,some_college,0.47,0.915,0
10500,84100,719,5,65.0,44,4,1920,debt_consolidation,rent,some_college,8.01,0.023,0
24900,105300,748,5,65.0,39,4,4280,medical,rent,some_college,4.229,0.041,0
66400,168300,615,8,49.3,37,5,4920,debt_consolidation,own,bachelors,2.535,0.029,1
67200,77700,624,2,30.5,22,4,19290,home_improvement,mortgage,some_college,1.156,0.248,1
32100,114400,701,2,65.0,19,7,11270,debt_consolidation,rent,some_college,3.564,0.099,0
39300,48600,761,7,32.3,30,1,7180,home_improvement,rent,some_college,1.237,0.148,1
100400,42800,585,2,25.2,26,5,17690,major_purchase,rent,some_college,0.426,0.413,1
43600,83400,668,17,45.2,40,0,730,debt_consolidation,mortgage,high_school,1.913,0.009,1
148600,45700,664,11,18.2,18,3,8860,debt_consolidation,mortgage,bachelors,0.308,0.194,1
54100,72300,720,11,35.7,33,5,6700,debt_consolidation,rent,bachelors,1.336,0.093,1
65100,28500,684,0,6.6,36,4,4580,other,mortgage,high_school,0.438,0.161,1
112200,32300,638,4,12.7,37,5,3460,home_improvement,mortgage,some_college,0.288,0.107,1
57500,93400,791,4,39.0,42,4,5930,debt_consolidation,own,some_college,1.624,0.063,1
34500,111400,639,2,57.8,34,3,2210,home_improvement,own,graduate,3.229,0.02,0
51600,30000,660,9,17.3,30,0,223730,debt_consolidation,rent,some_college,0.581,7.458,1
53300,95700,549,8,40.0,51,4,32940,medical,mortgage,bachelors,1.795,0.344,0
29300,41200,624,10,28.4,34,2,22700,debt_consolidation,rent,bachelors,1.406,0.551,0
48300,60600,728,13,26.7,53,9,2340,other,rent,graduate,1.255,0.039,1
38800,161400,712,12,65.0,34,5,1290,major_purchase,mortgage,bachelors,4.16,0.008,0
82100,105400,735,32,16.8,37,2,3650,major_purchase,rent,bachelors,1.284,0.035,1
55000,104500,731,6,43.3,36,6,5770,debt_consolidation,own,some_college,1.9,0.055,0
47700,227800,621,5,65.0,40,3,650,debt_consolidation,own,some_college,4.776,0.003,0
51600,36600,547,9,20.7,33,4,9620,debt_consolidation,mortgage,high_school,0.709,0.263,0
59900,30000,595,14,22.6,39,8,22360,education,rent,graduate,0.501,0.745,0
71500,36100,625,1,15.4,54,4,210,other,mortgage,some_college,0.505,0.006,1
34500,50100,602,3,30.5,49,5,1390,debt_consolidation,mortgage,bachelors,1.452,0.028,1
33900,11500,692,3,14.1,49,3,27420,other,rent,high_school,0.339,2.384,1
89100,51800,791,6,16.9,23,8,8300,major_purchase,rent,some_college,0.581,0.16,1
45000,40900,815,4,22.1,25,7,1460,medical,rent,high_school,0.909,0.036,1
28600,103600,727,13,65.0,40,1,13760,other,own,high_school,3.622,0.133,0
66200,76600,654,7,25.7,46,4,2140,other,rent,some_college,1.157,0.028,1
66700,39300,546,5,15.3,32,1,3530,home_improvement,rent,high_school,0.589,0.09,1
27200,90500,774,8,63.4,30,3,1000,home_improvement,mortgage,bachelors,3.327,0.011,1
60100,99300,528,0,39.4,53,4,5030,major_purchase,mortgage,some_college,1.652,0.051,0
75400,35000,620,8,12.4,45,3,20440,debt_consolidation,own,some_college,0.464,0.584,1
64100,42400,729,2,14.9,49,2,2520,debt_consolidation,rent,bachelors,0.661,0.059,0
72000,12600,676,11,6.9,33,5,12130,education,rent,bachelors,0.175,0.963,1
28800,27900,668,1,26.3,32,5,4580,debt_consolidation,own,some_college,0.969,0.164,1
62900,35600,584,9,20.9,48,9,22260,home_improvement,mortgage,graduate,0.566,0.625,1
47300,63100,684,2,35.0,35,4,2570,debt_consolidation,rent,some_college,1.334,0.041,1
43600,30900,770,15,21.6,31,2,43350,major_purchase,rent,bachelors,0.709,1.403,0
80200,41800,686,1,19.5,27,10,12760,debt_consolidation,rent,bachelors,0.521,0.305,1
105400,25400,614,6,12.1,32,5,6920,other,own,high_school,0.241,0.272,1
121500,67500,578,10,19.8,47,10,7280,medical,rent,some_college,0.556,0.108,1
97900,80700,616,8,24.6,21,4,2560,debt_consolidation,mortgage,high_school,0.824,0.032,0
51600,79400,718,8,32.8,44,2,2340,debt_consolidation,mortgage,some_college,1.539,0.029,1
63500,60400,714,1,20.8,30,2,7090,debt_consolidation,rent,high_school,0.951,0.117,1
76500,20400,616,1,18.2,35,4,920,debt_consolidation,mortgage,bachelors,0.267,0.045,1
57200,38800,497,7,20.7,36,3,2120,home_improvement,mortgage,high_school,0.678,0.055,0
57500,45000,720,7,26.3,35,3,1320,debt_consolidation,mortgage,high_school,0.783,0.029,0
78500,45100,608,2,13.9,34,6,10940,home_improvement,rent,high_school,0.575,0.243,1
52800,63100,743,2,27.9,33,2,11180,debt_consolidation,mortgage,bachelors,1.195,0.177,1
39000,162400,620,5,65.0,31,5,29000,debt_consolidation,mortgage,high_school,4.164,0.179,0
45000,105700,601,4,52.9,52,7,3080,other,own,bachelors,2.349,0.029,0
72100,30000,698,21,13.0,38,8,1590,education,rent,high_school,0.416,0.053,1
54200,96300,748,15,37.8,36,7,630,debt_consolidation,rent,high_school,1.777,0.007,1
63100,93700,696,11,42.6,30,5,7180,major_purchase,rent,bachelors,1.485,0.077,1
73200,34100,715,17,19.1,33,7,34740,debt_consolidation,rent,bachelors,0.466,1.019,1
45800,108500,536,3,53.3,30,6,4430,medical,rent,bachelors,2.369,0.041,0
76100,53500,589,4,15.8,46,6,5100,education,own,graduate,0.703,0.095,0
64200,22300,471,14,6.8,29,0,4870,major_purchase,own,bachelors,0.347,0.218,1
31100,82300,832,6,59.5,38,1,7010,major_purchase,rent,bachelors,2.646,0.085,0
103700,69700,814,6,11.1,34,5,19850,education,mortgage,high_school,0.672,0.285,1
43200,51100,718,2,27.3,31,5,72180,debt_consolidation,mortgage,high_school,1.183,1.413,1
25700,58300,696,13,45.6,48,6,9870,major_purchase,own,graduate,2.268,0.169,1
33900,36200,553,9,23.5,55,4,10830,debt_consolidation,other,some_college,1.068,0.299,0
34200,91800,666,5,54.6,49,5,3520,debt_consolidation,own,some_college,2.684,0.038,0
55500,58100,837,4,22.6,31,5,4230,major_purchase,mortgage,some_college,1.047,0.073,1
47900,67300,696,15,28.4,33,4,4150,debt_consolidation,rent,bachelors,1.405,0.062,1
46600,76900,637,3,38.7,43,1,2940,debt_consolidation,rent,bachelors,1.65,0.038,0
71600,26700,535,1,19.0,43,3,5880,debt_consolidation,own,high_school,0.373,0.22,0
63100,32000,802,15,10.2,31,5,11790,other,rent,high_school,0.507,0.368,1
62500,12700,679,16,12.4,20,6,5370,debt_consolidation,mortgage,some_college,0.203,0.423,0
65100,88900,535,3,34.7,61,2,3320,home_improvement,own,bachelors,1.366,0.037,0
71500,25600,606,24,16.2,48,4,5860,debt_consolidation,rent,some_college,0.358,0.229,1
21000,65700,576,5,63.4,39,3,1280,other,rent,bachelors,3.129,0.019,1
46000,77600,673,3,36.0,39,7,15130,debt_consolidation,rent,some_college,1.687,0.195,1
20300,91300,702,9,65.0,44,2,2760,home_improvement,own,graduate,4.498,0.03,0
55100,25800,642,1,17.8,46,5,980,home_improvement,own,graduate,0.468,0.038,1
54100,57200,751,2,19.5,34,10,9380,major_purchase,mortgage,some_college,1.057,0.164,0
86700,192800,691,7,47.1,32,6,10060,education,own,some_college,2.224,0.052,1
92500,198800,775,6,46.9,36,4,1470,debt_consolidation,own,bachelors,2.149,0.007,0
59400,119500,654,12,39.8,46,2,11770,debt_consolidation,mortgage,high_school,2.012,0.098,1
43300,75800,637,2,38.5,18,3,11940,debt_consolidation,own,high_school,1.751,0.158,0
67400,29600,608,21,17.9,23,9,78030,home_improvement,mortgage,bachelors,0.439,2.636,1
42700,99000,597,4,46.4,30,6,3540,education,own,graduate,2.319,0.036,0
54100,53600,667,6,26.8,39,10,4550,debt_consolidation,mortgage,some_college,0.991,0.085,1
84400,88600,538,4,22.9,47,4,2100,education,own,some_college,1.05,0.024,0
42200,38400,710,1,19.4,55,2,9810,debt_consolidation,mortgage,bachelors,0.91,0.255,0
77900,53000,523,6,22.7,34,4,4880,debt_consolidation,mortgage,high_school,0.68,0.092,0
73500,67200,698,10,29.2,47,3,19600,medical,own,graduate,0.914,0.292,1
35300,71100,570,5,39.5,45,5,2680,medical,mortgage,high_school,2.014,0.038,0
84000,84600,652,3,29.9,43,4,9510,debt_consolidation,own,high_school,1.007,0.112,1
74200,39900,736,12,17.6,37,2,3520,other,rent,high_school,0.538,0.088,1
56700,23400,593,12,6.6,33,3,370,debt_consolidation,mortgage,high_school,0.413,0.016,0
38400,186700,672,5,65.0,26,6,11840,education,rent,high_school,4.862,0.063,0
36800,342000,623,8,65.0,25,5,430,debt_consolidation,rent,bachelors,9.293,0.001,0
42500,81900,611,12,36.2,41,8,3930,debt_consolidation,mortgage,high_school,1.927,0.048,0
69200,23700,624,10,11.7,37,5,4020,education,mortgage,graduate,0.342,0.17,1
35200,34800,755,8,25.5,33,5,4860,debt_consolidation,mortgage,some_college,0.989,0.14,1
66000,85500,643,10,33.1,45,3,5250,home_improvement,mortgage,some_college,1.295,0.061,1
31000,153100,720,8,65.0,35,6,5180,education,mortgage,bachelors,4.939,0.034,0
49400,25600,599,6,23.6,27,5,8170,debt_consolidation,own,high_school,0.518,0.319,1
56900,54900,653,2,22.1,35,1,4220,medical,mortgage,bachelors,0.965,0.077,0
162800,68700,616,2,16.0,47,4,191370,home_improvement,mortgage,high_school,0.422,2.786,1
29100,109700,753,9,65.0,26,5,3040,debt_consolidation,own,bachelors,3.77,0.028,0
105100,47100,545,4,18.9,40,7,890,debt_consolidation,rent,some_college,0.448,0.019,1
58000,20000,571,8,18.4,37,6,680,debt_consolidation,own,high_school,0.345,0.034,0
65200,92500,634,2,31.8,29,2,12350,home_improvement,mortgage,bachelors,1.419,0.134,0
57100,131600,743,3,52.1,34,7,530,debt_consolidation,rent,high_school,2.305,0.004,0
66200,56500,789,5,19.7,20,5,900,major_purchase,rent,graduate,0.853,0.016,1
50600,79500,802,0,36.0,39,8,740,home_improvement,mortgage,some_college,1.571,0.009,1
104200,43000,730,2,17.4,22,6,9320,debt_consolidation,mortgage,some_college,0.413,0.217,1
44100,33100,677,3,25.4,49,5,31670,education,mortgage,some_college,0.751,0.957,1
90200,122800,752,7,34.8,36,7,1310,home_improvement,rent,some_college,1.361,0.011,1
40500,78500,587,5,43.3,31,5,8870,other,rent,bachelors,1.938,0.113,0
52700,84400,528,7,36.5,50,3,120,home_improvement,own,some_college,1.602,0.001,0
33400,171400,722,6,65.0,26,8,1730,other,rent,bachelors,5.132,0.01,0
66500,28600,599,5,24.5,29,4,11420,education,own,high_school,0.43,0.399,1
103800,40700,679,3,18.5,52,4,3170,home_improvement,mortgage,bachelors,0.392,0.078,1
52300,66900,695,6,32.6,58,5,19760,major_purchase,mortgage,some_college,1.279,0.295,1
49600,40300,706,14,17.1,19,6,220,debt_consolidation,rent,some_college,0.812,0.005,1
32800,103600,764,3,61.5,29,2,1760,home_improvement,other,high_school,3.159,0.017,0
48900,52500,755,21,26.0,38,4,9260,home_improvement,mortgage,high_school,1.074,0.176,1
26500,29900,701,6,31.9,32,7,9100,home_improvement,rent,some_college,1.128,0.304,1
35900,62700,647,11,35.7,37,2,10130,debt_consolidation,rent,bachelors,1.747,0.162,0
60000,67500,694,8,30.8,36,5,6570,education,mortgage,some_college,1.125,0.097,0
